Land;Region;Name;Strasse;PLZ;Ort;Telefon;E-Mail;Web
Schweiz;TG;Schüür Sport ;Schulstrasse 5;8576;Mauren;071 630 00 10; info@sport-schueuer.ch;www.sport-schueuer.ch
Schweiz;FR;SIDE CUT Sports AG;Hauptstr. 522;1716;Schwarzsee;079/ 237 89 89;info@sidecut.ch;www.sidecut.ch
Schweiz;VD;Silver Sport;Route Cantonale;1659;Rougemont;026 925 80 50;silversport@planet.ch;silversport.ch
Schweiz;NW;Ski & Sport Achermann AG;Engelbergstrasse 37 a;6370;Stans;041 610 12 18;ski-achermann@bluewin.ch;www.achermannsport.ch
Schweiz;GR;Ski + SB Center Niedermair ;Fatschel;7028;St. Peter;081 374 11 46;niedsind@hotmail.com;www.snowwave.ch
Schweiz;VS;Ski Rinaldo;;3962;Montana-Vermala;027 481 89 17;info@ski-rinaldo.ch;www.ski-rinaldo.ch
Schweiz;BE;Ski- und Velo-Center Straub AG;Freiburgstrasse 571;3172;Niederwangen;031 981 34 11;;www.ski-velo-center.ch
Schweiz;BE;Ski- und Velo-Center Straub AG;Papiermühlestrasse 159;3063;Ittigen;031 921 22 21;info@ski-velo-center.ch;www.ski-velo-center.ch
Schweiz;BE;Ski- und Velo-Center Straub AG;Hirschengraben 7;3011;Bern;031 312 00 31;info@ski-velo-center.ch;www.ski-velo-center.ch
Schweiz;TG;Ski-Gubler AG;Unterdorfstrasse 3;8507;Hörhausen;052 762 73 73;info@skigubler.ch;www.skigubler.ch
Schweiz;GR;Skiservice Corvatsch ;Chesa Crap Alv;7513;Silvaplana-Surlej;081 828 82 75;skiservice@bluewin.ch;www.skiservice-corvatsch.com
Schweiz;VS;Ski-Service SA;La Vallée Blanche;1936;Verbier;027 771 67 70;skiservice_verbier@compuserve.com;www.skiservice.com
Schweiz;GE;SNC Passe Montagne;Boulevard Carl-Vogt 32;1205;Genève;022 321 00 48;geneve@passemontagne.ch;www.passemontagne.ch
Schweiz;VS;SNC Passe Montagne;Rue du Crochetan 2;1870;Monthey;024 471 11 14;guy.baudat@span.ch;www.passemontagne.ch
Schweiz;VD;SNC Passe Montagne;Av. de France 34;1004;Lausanne;021 625 25 55;guy.baudat@span.ch;www.passemontagne.ch
Schweiz;GR;Splügen Sport ;Hauptstrasse;7435;Splügen;081 664 19 19;;www.spluegensport.ch
Schweiz;VS;Sport & Mode;Dorfstrasse 190;3925;Grächen;027 956 15 29;zenklusensport@hotmail.com;www.zenklusensport.ch
Schweiz;AI;sport + mode baumann ag;Weissbadstrasse 4;9050;Appenzell;071 787 35 45;sport-baumann@bluewin.ch;www.sport-baumann.ch
Schweiz;VD;Sport 137 ;Route de Suisse 135;1290;Versoix;022 755 55 50;info@sport137.ch;www.sport137.ch
Schweiz;UR;sport 4 you ;Gotthardstrasse 55;6490;Andermatt;041 888 00 71;info@sport4you-andermatt.ch;www.sport4you-andermatt.ch
Schweiz;VS;Sport 4000 ;;3961;St-Luc;027 475 13 48;;www.sport4000.ch
Schweiz;VS;Sport Evasion Sàrl;;1983;Evolène;027 283 22 11;contact@sport-evasion.ch;www.sport-evasion.ch
Schweiz;ZH;Sport Shop Time Out Uster AG;Pfäffikerstrasse 30;8610;Uster;01 942 06 16;mail@sportshop-timeout.ch;www.sportshop-timeout.ch/
Schweiz;SG;Sport Tannenheim AG;Postfach;8897;Flumserberg;081 733 17 25;info@sport-tannenheim.ch;www.sport-tannenheim.ch
Schweiz;SG;Sport Treff AG ;Stitz;9657;Unterwasser;071 999 12 05;info@sport-treff.ch;www.sport-treff.ch
Schweiz;VS;Sporthaus Lauchernalp ;;3918;Wiler;027 939 15 84;fredy@sporthaus-lauchern.ch;www.sporthaus-lauchern.ch
Schweiz;ZH;SPORTIS AG;Dorfstrasse 9;8805;Richterswil;01 784 60 55;sportis@sportis.ch;www.sportis.ch
Schweiz;LU;SPORTmonnaie AG ;Gibraltarstrasse 24;6003;Luzern;041 240 54 34;sportmonnaie@freesurf.ch;www.sportmonnaie.ch
Schweiz;ZH;Sportplausch Wider AG;Widenholzstrasse 6;8304;Wallisellen;01 830 52 44;sportplauschwider@bluewin.ch;www.sportplauschwider.ch
Schweiz;VD;Sport's House-Villars;rte des Hôtels;1884;Villars-sur-Ollon;024 495 22 91;magasin@sportshouse.ch;www.sportshouse.ch
Schweiz;ZG;Sport-Service Bannwart AG ;Reiffergässli 4;6300;Zug;041 711 22 40;sportservice@bluewin.ch;www.sport-service.ch
Schweiz;BL;Sportshop Karrer AG;Ziegeleistrasse 48;4242;Laufen;061 781 23 21;karrer-sportshop@bluemail.ch;www.sportshopkarrer.ch
Schweiz;ZH;Sport-Trend-Shop AG ;Heuweidlistrasse;8340;Hinwil;044 938 38 40;info@sts-online.ch;www.sts-online.ch
Schweiz;GR;Sprecher Sport;;7050;Innerarosa;081 377 12 07;;www.intersport-sprecher.ch
Schweiz;BE;Stäger-Sport ;Im Gruebi;3825;Mürren;033 855 23 55;staegersport@bluewin.ch;www.staegersport.ch
Schweiz;BE;Stockhorn Sport;Frutigenstrasse 8;3600;Thun;033 223 23 09;info@stockhorn-sport.ch;www.stockhorn-sport.ch
Schweiz;ZH;Stöckli Swiss Sports AG;Florhofstrasse 13;8820;Wädenswil;044 780 28 08;info@stoecklisport.ch;www.stoecklisport.ch
Schweiz;ZH;Stöckli Swiss Sports AG;Balz-Zimmermann-Strasse 7;8302;Kloten;044 945 14 18;info@stoecklisport.ch;www.stoecklisport.ch
Schweiz;OW;Stöckli Swiss Sports AG;Gerschnistrasse;6390;Engelberg;041 637 04 44;info@stoecklisport.ch;www.stoecklisport.ch
Schweiz;LU;Stöckli Swiss Sports AG;Kommetsrüti 7;6110;Wolhusen;041 492 62 62;info@stoecklisport.ch;www.stoecklisport.ch
Schweiz;SO;Stöckli Swiss Sports AG;Ausserfeldweg 1 / Gewerbezentrum N5;4528;Zuchwil;032 685 35 50;info@stoecklisport.ch;www.stoecklisport.ch
Schweiz;BE;Stöckli Swiss Sports AG;Stockhornstrasse;3627;Heimberg;033 437 02 12;info@stoecklisport.ch;www.stoecklisport.ch
Schweiz;VD;Stöckli Swiss Sports AG;Z.I. Rio Gredon 11;1806;St.-Légier;021 943 66 00;info@stoecklisport.ch;www.stoecklisport.ch
Schweiz;OW;Stöckli Swiss Sports AG;Stöckalp;6067;Melchtal;041 669 09 60;info@stoecklisport.ch;www.stoecklisport.ch
Schweiz;BE;Straub Sport AG;Marktgasse 35;4900;Langenthal;062 922 22 51;mail@straubsport.ch;www.straubsport.ch/
Schweiz;GR;Strimer Sport;Neudorfstrasse 73;7430;Thusis;081 651 55 44;info@strimer-sport.ch;www.strimer-sport.ch
Schweiz;BE;Strubel Sport GmbH;Rawylstrasse 34;3775;Lenk;079 449 31 36;info@strubelsport.ch;www.strubelsport.ch
Schweiz;SG;Sutter Sport GmbH;Niederwis;9656;Alt St. Johann;071 999 11 94;sutter-sport@bluewin.ch;www.suttersport.ch
Schweiz;VS;Theytaz Sports;imm. Belvédère;1988;Thyon-les-Collons;027 207 29 37;theytazf@bluewin.ch;www.theytazsports.ch
Schweiz;BE;Thömus Velo-Shop AG;Oberried;3145;Niederscherli;031 848 10 10;;www.thoemus.ch
Schweiz;SG;Tischhauser Sport;Hauptstrasse 3;9476;Weite;081 783 32 12;info@tischhauser-sport.ch;www.tischhauser-sport.ch
Schweiz;OW;Titlis-Sport AG;Klosterstrasse 9;6390;Engelberg;041639 60 70;info@titlis-sport.ch;www.titlis-sport.ch/
Schweiz;SZ;Tony-Sport;Altmattstrasse 35;6418;Rothenturm;041 838 14 75;tonysport@bluemail.ch;www.tonysport.ch
Schweiz;NE;Tosalli Sports SA;Avenue de la Gare 9a;2013;Colombier;032 841 23 12;tosallisports@bluewin.ch;www.tosallisports.ch
Schweiz;SG;Tower Sports AG;Neue Jonastrasse 37;8640;Rapperswil;055 222 70 80;;www.towersports.ch
Schweiz;SO;Tramp Store;Baslerstrasse 81;4632;Trimbach;062 293 23 33;shop@tramp-store.ch;www.tramp-store.ch
Schweiz;FR;Trango Sport Nature SA;Rue Albert-Rieter 10;1630;Bulle ;026 913 92 10;info@trangosport.ch;www.trangosport.ch
Schweiz;BE;Troxler Sport ;Oberriedstrasse;3775;Lenk;033 733 33 36;info@troxler-lenk.ch;www.troxler-lenk.ch
Schweiz;VS;Valaysport;Place Centrale 7;1870;Monthey;024 471 64 63;francis.p@bluewin.ch;www.valaysport.ch
Schweiz;GR;Vali AG;Bahnhofstrasse 2;7203;Trimmis;081 353 31 07;vali@swiss-window.ch;www.valisport.ch
Schweiz;VS;Valsport;résidence Tarcianne II;3961;Grimentz;027 475 27 76;valsport@bluewin.ch;www.valsport.ch
Schweiz;BE;Vaucher Sport Specialist AG;Hallmattstrasse 4;3172;Niederwangen BE;031 981 22 22;;www.vauchersport.ch
Schweiz;BE;Vaucher Sport Specialist AG;Marktgasse 27;3011;Bern ;031 311 22 34;;www.vauchersport.ch
Schweiz;BE;Vaucher Sport Specialist AG;Dufourstrasse 16;2500;Biel;032 322 16 19;;www.vauchersport.ch
Schweiz;VD;Vertical Sport AG;Jungfraustrasse 44;3800;Interlaken;033 823 53 83;info@verticalsport.ch;www.verticalsport.ch
Schweiz;VS;Virage Sports;Imm. Crêt du Midi;3967;Vercorin;079 220 71 45;bhitter@vtx.ch;www.virage.ch
Schweiz;ZH;Vivax-Sport Pasoldt & Co.;Turmhaldenstrasse 6;8400;Winterthur;052 213 04 06;mail@vivax.ch;www.cylex.ch
Schweiz;VS;Volken Sport GmbH;Haus Rondo;3984;Fiesch;027 971 11 16;sport@volken-sport.ch;www.volken-sport.ch
Schweiz;LU;von Moos Sport + Hobby AG;Kasernenplatz 3-4;6000;Luzern 7;041 240 13 16;info@vonmoos-luzern.ch;www.vonmoos-luzern.ch
Schweiz;GL;Vreni Schneider Sport;Dorf;8767;Elm;055 642 10 38;sport@vrenischneider.ch;www.vrenischneidersport.ch
Schweiz;FL;W + M Sport;Fürst-Franz-Josefstrasse 43;9490;Vaduz;00423 2301303;w-m-@w-msport.li;www.w-msport.li
Schweiz;AR;WAKO SPORT AG;Hechtstrasse 2;9053;Teufen;071 333 41 10;info@wakosport.ch;www.wakosport.ch/
Schweiz;GR;Wasescha Sport AG;Veia Principala 49;7460;Savognin;081 684 13 13;info@waseschasport.ch;www.waseschasport.ch
Schweiz;BE;Wenger Sport;Oberdorf;3753;Oey;033 681 13 80;wengerschuhe@zapp.ch;www.wenger-diemtigtal.ch
Schweiz;TG;Westpark Sport AG;Weststrasse 47;8570;Weinfelden;071 622 56 31;rokle@access.ch;www.westparksport.ch
Schweiz;ZH;Wiesmann Skiservice;Moosmattstrasse 34;8953;Dietikon;01 741 54 41;info@wiesmann-ski.ch;www.wiesmann-ski.ch
Schweiz;SG;Wildhaber Sport AG;Kirchstrasse 9;8890;Flums;081 733 23 24;wildhaber.sport@bluewin.ch;www.wildhaber-sport.ch
Schweiz;SG;Wildmanndli-Sport ;Toggenburgerstrasse 25;9652;Neu St. Johann;071 994 17 17;rustpeter@gmx.ch;www.wildmanndli-sport.ch
Schweiz;GR;Willy Sport & moda;San Bastiaun 18;7524;Zuoz;081 854 12 89;info@willy-sport.ch;www.willy-sport.ch
Schweiz;ZH;Wilma Ski Sport;Betpurstrasse 2;8910;Affoltern am Albis;044 761 56 37;info@wilmaskisport.ch;www.wilmaskisport.ch
Schweiz;SZ;Wisel-Kälin Sport AG ;Bahnhofplatz 18;8840;Einsiedeln;055 412 21 88;kaelin-sport@bluewin.ch;www.wisel-kaelin-sport.ch
Schweiz;VD;Yosemite Sàrl;Boulevard de Grancy 12;1006;Lausanne;021 617 31 00;yosemite@worldcom.ch;www.yosemite.ch
Schweiz;VS;Zanskar Sports;;1944;La Fouly;027 783 30 00;;www.zanskar.ch
Schweiz;GR;Zegg Sport & Mode;;7563;Samnaun Dorf;081 868 57 57;info@zegg.ch;www.zegg.ch
Schweiz;VS;Zinal Sport ;;3961;Zinal;027 475 13 74;info@zinal-sports.ch;www.zinal-sports.ch
